b'id',b'lat',b'lon',b'ele',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'105522538',b'41.4706723',b'-81.901638',,b'Bored',b'85673',b'12',b'30367906',b'2015-04-21T03:41:14Z'
b'105522885',b'41.352302',b'-81.775423',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:02:10Z'
b'105523435',b'41.576958',b'-81.550603',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:02:15Z'
b'105523780',b'41.4259661',b'-81.5802335',,b'wlgann',b'2851892',b'5',b'37556396',b'2016-03-01T22:17:48Z'
b'105524241',b'41.4344439',b'-81.3824139',,b'pkoby',b'999995',b'3',b'33776445',b'2015-09-03T15:59:49Z'
b'105524559',b'41.4075259',b'-81.6527821',,b'wlgann',b'2851892',b'5',b'37531235',b'2016-02-29T21:23:58Z'
b'105524984',b'41.4893138',b'-81.6658552',,b'woodpeck_fixbot',b'147510',b'3',b'2414005',b'2009-09-08T14:21:56Z'
b'105525301',b'41.4921864',b'-81.5802264',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6621944',b'2010-12-11T11:41:44Z'
b'105525650',b'41.5240329',b'-81.5636591',,b'wlgann',b'2851892',b'3',b'39720228',b'2016-06-01T21:09:35Z'
b'105525972',b'41.4644717',b'-81.6712874',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6836154',b'2011-01-02T09:17:05Z'
b'105526262',b'41.600868',b'-81.502879',,b'Able05',b'5033564',b'4',b'47234970',b'2017-03-28T16:55:55Z'
b'105526614',b'41.467195',b'-81.758724',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:22:08Z'
b'105527007',b'41.365503',b'-81.764927',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:02:59Z'
b'105527365',b'41.469512',b'-81.7793781',,b'wlgann',b'2851892',b'3',b'37275358',b'2016-02-17T20:33:27Z'
b'105527782',b'41.4938683',b'-81.6770551',,b'wlgann',b'2851892',b'5',b'37254627',b'2016-02-16T20:38:20Z'
b'105528197',b'41.36769',b'-81.720049',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:03:26Z'
b'105528544',b'41.4748054',b'-81.5704657',,b'wlgann',b'2851892',b'3',b'32294925',b'2015-06-29T21:08:33Z'
b'105528941',b'41.4745657',b'-81.6957031',,b'OSchl\xc3\xbcter',b'66904',b'4',b'5710446',b'2010-09-07T17:58:55Z'
b'105529297',b'41.311053',b'-81.826017',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:22:26Z'
b'105529553',b'41.386541',b'-81.903017',,b'jwolter',b'2834',b'3',b'17261484',b'2013-08-08T02:36:16Z'
b'105529865',b'41.521735',b'-81.590944',,b'OSMF Redaction Account',b'722137',b'5',b'12295909',b'2012-07-18T19:54:38Z'
b'105530102',b'41.431701',b'-81.470325',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:22:33Z'
b'105530447',b'41.2925031',b'-81.6504149',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6137459',b'2010-10-22T15:20:55Z'
b'105530746',b'41.498533',b'-81.582474',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:03:53Z'
b'105530981',b'41.2909378',b'-81.7631874',,b'Rub21',b'510836',b'4',b'17324611',b'2013-08-12T22:39:09Z'
b'105531222',b'41.401519',b'-81.442209',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:22:42Z'
b'105531438',b'41.4637346',b'-81.591879',,b'skorasaurus',b'205523',b'4',b'36247253',b'2015-12-29T18:08:59Z'
b'105531728',b'41.4957274',b'-81.682643',,b'skorasaurus',b'205523',b'7',b'25232176',b'2014-09-04T18:03:16Z'
b'105531975',b'41.555833',b'-81.400767',,b'woodpeck_fixbot',b'147510',b'3',b'2414005',b'2009-09-08T14:22:48Z'
b'105532259',b'41.5232826',b'-81.545355',,b'wlgann',b'2851892',b'3',b'39043790',b'2016-05-02T16:18:18Z'
b'105532499',b'41.455347',b'-81.809758',,b'W8KRF',b'427708',b'3',b'7710864',b'2011-03-29T20:59:09Z'
b'105532730',b'41.545929',b'-81.582939',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:04:17Z'
b'105533000',b'41.360081',b'-81.784974',,b'woodpeck_fixbot',b'147510',b'4',b'2414005',b'2009-09-08T14:22:57Z'
b'105533241',b'41.452881',b'-81.712098',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:04:24Z'
b'105533473',b'41.443662',b'-81.70573',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:04:27Z'
b'105533670',b'41.515852',b'-81.616775',,b'skorasaurus',b'205523',b'3',b'40285884',b'2016-06-25T17:43:22Z'
b'105533919',b'41.443343',b'-81.730933',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:04:34Z'
b'105534141',b'41.5691351',b'-81.5852256',,b'skorasaurus',b'205523',b'4',b'32839057',b'2015-07-23T22:40:10Z'
b'105534356',b'41.60317',b'-81.537161',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:23:25Z'
b'105534601',b'41.593077',b'-81.545371',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:04:44Z'
b'105534863',b'41.411925',b'-81.608027',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:23:29Z'
b'105535091',b'41.583008',b'-81.552554',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:04:50Z'
b'105535345',b'41.594878',b'-81.492594',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:04:54Z'
b'105535564',b'41.36836',b'-81.792315',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:23:35Z'
b'105535816',b'41.470093',b'-81.7278144',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6864360',b'2011-01-04T19:07:37Z'
b'105536066',b'41.470087',b'-81.791584',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:02:38Z'
b'105536287',b'41.43752',b'-81.887823',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:02:41Z'
b'105536515',b'41.287509',b'-81.854641',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:02:44Z'
b'105536741',b'41.586734',b'-81.536235',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:02:47Z'
b'105536966',b'41.402675',b'-81.59449',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:02:51Z'
b'105537182',b'41.34212',b'-81.720291',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:23:49Z'
b'105537406',b'41.489215',b'-81.627296',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:02:57Z'
b'105537644',b'41.508258',b'-81.51516',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:01Z'
b'105537911',b'41.408096',b'-81.594038',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:04Z'
b'105538160',b'41.378327',b'-81.714042',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:23:57Z'
b'105538482',b'41.354009',b'-81.439195',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:00Z'
b'105538714',b'41.387615',b'-81.52725',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:14Z'
b'105538923',b'41.366104',b'-81.45325',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:04Z'
b'105539225',b'41.377775',b'-81.868708',,b'woodpeck_fixbot',b'147510',b'3',b'2414005',b'2009-09-08T14:24:06Z'
b'105539477',b'41.447728',b'-81.543965',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:08Z'
b'105539704',b'41.443948',b'-81.5524',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:10Z'
b'105539957',b'41.441705',b'-81.618972',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:30Z'
b'105540196',b'41.383408',b'-81.524036',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:34Z'
b'105540468',b'41.446339',b'-81.62489',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:16Z'
b'105540708',b'41.386108',b'-81.905853',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:18Z'
b'105540955',b'41.3632759',b'-81.4212227',,b'bazbazbaz',b'3351895',b'4',b'46484560',b'2017-03-01T04:39:24Z'
b'105541197',b'41.445691',b'-81.875995',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:47Z'
