b'id',b'node_id',b'position'
b'258219703',b'2636086179',0
b'258219703',b'2636086178',1
b'258219703',b'2636086177',2
b'258219703',b'2636086176',3
b'209809850',b'2199822281',0
b'209809850',b'2199822390',1
b'209809850',b'2199822392',2
b'209809850',b'2199822369',3
b'209809850',b'2199822370',4
b'209809850',b'2199822284',5
b'209809850',b'2199822281',6
