b'id',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'258219703',b'linuxUser16',b'1219059',b'1',b'20187382',b'2014-01-25T02:01:54Z'
b'209809850',b'chicago-buildings',b'674454',b'1',b'15353317',b'2013-03-13T15:58:04Z'
